,Date,Username,Tweet,LikeCount
0,2022-04-25 05:02:17+00:00,kikorimahoroba,Mac、Montereyにアップデートしてからすこぶる調子がいい。さっさとやっとくんだった。,0
1,2022-04-25 05:01:12+00:00,bulletin_ex,The Big Sur International Marathon returns with many happy runners – the Monterey Herald https://t.co/5TVtMmGRFA,0
2,2022-04-25 04:50:30+00:00,JustFrederiksen,"Morning in Monterey.
@TheCACoast https://t.co/e2dhcHNiRB",3
3,2022-04-25 04:46:27+00:00,Fatal1tyV,"下午不想干活
（点击macOS Monterey安装（",2
4,2022-04-25 04:46:04+00:00,KNF100,"@tylermorganwall @EcoAndrewTRC This is wonderful and Monterey Bay is appropriate to yer diving interests, Andrew.",0
5,2022-04-25 04:45:11+00:00,JPeru22,Monterey Ca 🌊 https://t.co/WtGZFHZwpW,0
6,2022-04-25 04:30:37+00:00,DECIMATEDQUOTES,"610 Del Monte Ave, Monterey, CA 93940",0
7,2022-04-25 04:28:22+00:00,annamarieh333,"@ThatEricAlper Ike and Tina Turner, Monterey festival in the 70’s and Chuck Berry!  I was in high school so still a teenager",0
8,2022-04-25 04:28:20+00:00,RandyRosetta,BASEBALL | Mustangs top Cougars to secure 3rd place; Pirates cruise past Monterey to nail down 4-5A title https://t.co/Be5LoYR7Ib via @HubCityPrepsLBK @CoronadoNOWU @LCPbaseball @plainsmenball @Lubbock_High @EHS_BaseballWIT @FrenshipBSBL,1
9,2022-04-25 04:28:09+00:00,lin_oatmilk,@frankdaniels_ they’re opening one in monterey park! right by elac! ❤️‍🔥,0
10,2022-04-25 04:27:28+00:00,B_ry_theGooner,"@JulietteStray I was stationed in Monterey for 2 years, got to live in a little tiny apartment in Carmel; drank so much Chardonnay there, but, I also ran the Big Sur marathon so I earned it :)",1
11,2022-04-25 04:20:06+00:00,CALocalMRY,"CHP Incident Report: Apr 24 2022  9:08PM

Traffic Hazard : Us101 At Wildhorse (NB 101 JSO      1125 AND 1110)",0
12,2022-04-25 04:20:03+00:00,CALocalMRY,"CHP Incident Report: Apr 24 2022  9:13PM

Traffic Hazard : Rogge Rd at Natividad Rd (WB)",0
13,2022-04-25 04:18:18+00:00,Trogotronic,"Enter ""Monterey Japanese School Fundraiser Trogotronic Sweepstakes"" by Friday the 13th of May for a chance to win; find the ""Info / Spiel"" section of our webshop https://t.co/BP3vKbJ0UU, no purchase necessary yaddah yaddah... https://t.co/VTQPlff3eM",1
14,2022-04-25 04:12:19+00:00,BUXBE_,@davedelong Is Ejector still available for Monterey? I mean has it been updated to match the macOS12 UI?,0
15,2022-04-25 04:11:54+00:00,underwaterpat,A young Chrysaora sea nettle with its eight bright rhopalia showcasing their nematocystems of a down in Monterey Bay https://t.co/oIs0PgwwUU,19
16,2022-04-25 04:10:48+00:00,vitaminimodern,"Just posted a photo @ Monterey, California https://t.co/bz0y9Q5c2f",1
17,2022-04-25 04:09:46+00:00,ian_abellana,Monterey Bay Aquarium but all I really wanted to sea was her 🤪 https://t.co/TxoNFFOo7u,4
18,2022-04-25 04:08:18+00:00,linskyz,"@DavidSummersHG Te abrazo desde Monterey, David!",0
19,2022-04-25 04:05:19+00:00,cliff_watkins,"Film shots of Monterey/PG, from the last few weekends. https://t.co/eN4FlxvVX8",0
20,2022-04-25 04:00:21+00:00,mikeellisspeaks,#NowPlaying Monterey Jack by Black C On https://t.co/P2W6mVtcON https://t.co/wzsAryOSYF,0
21,2022-04-25 03:59:11+00:00,MidwestWeather3,MTR expires Small Craft Advisory for Monterey Bay [PZ] https://t.co/r5MCp6stJr https://t.co/m7HVxr5lzT,0
22,2022-04-25 03:59:11+00:00,MidwestWeather3,"MTR continues Small Craft Advisory valid at Apr 25, 9:00 AM PDT for Monterey Bay [PZ] till Apr 26, 3:00 AM PDT https://t.co/ua5d6laarj https://t.co/ToWSRSi83M",0
23,2022-04-25 03:55:39+00:00,054758373,よしよし！Montereyになりました！ https://t.co/9HAWZH5Lsb,6
24,2022-04-25 03:51:12+00:00,nws_anywhere,"MTR expires Beach Hazard Statement for Coastal North Bay Including Point Reyes National Seashore, Northern Monterey Bay, San Francisco, San Fransisco Peninsula Coast, Southern Monterey Bay and Big Sur Coast [CA] https://t.co/9KGIVWB82H https://t.co/6yONazPtSV",0
25,2022-04-25 03:51:12+00:00,iembot_mtr,"MTR expires Beach Hazard Statement for Coastal North Bay Including Point Reyes National Seashore, Northern Monterey Bay, San Francisco, San Fransisco Peninsula Coast, Southern Monterey Bay and Big Sur Coast [CA] https://t.co/Mm1oZpl73o https://t.co/DvySWtNsdH",0
26,2022-04-25 03:49:22+00:00,CatesMonterey,In perfect alignment with #GOP values https://t.co/d7lILxpTqn,0
