,Date,Username,Tweet,LikeCount
0,2022-04-15 23:02:16+00:00,NASA,@IXCASTLEXI We hope you'll share photos with us! 🤩,34
1,2022-04-15 23:01:39+00:00,NASA,@SecurityCollins We want space to be for everybody. We're glad you're on board with us! 💫,16
2,2022-04-15 22:59:46+00:00,NASA,"This week, @NASAHubble confirmed the size of a massive comet at the edge of our solar system, @NASAArtemis teams continued testing for launch to the Moon, and our @NASAWebb Telescope got even cooler. Get even more NASA news at https://t.co/JSDausMuVv https://t.co/YK8QN8TXZj",2152
3,2022-04-15 22:25:13+00:00,NASA,"@SciGuySpace A member of our team shared this story in error. We've corrected the mistake, and are reviewing our procedures.",67
4,2022-04-15 21:52:20+00:00,NASA,"Here's hoping for clear skies! Look to the east-southeast around dawn Saturday to see Saturn, Mars, Venus, and Jupiter in a line starting at 15° above the horizon.

The Moon will appear full all weekend: https://t.co/W5YRn3Hc45 https://t.co/rcMY6y3Nl2",4428
5,2022-04-15 21:29:34+00:00,NASA,"❄️ Chill with us on April 18?Join our @TwitterSpaces to ask NASA &amp; @ESA experts how an instrument on @NASAWebb was cooled to near absolute zero – the lowest temperature matter can reach. Use #UnfoldTheUniverse for questions. https://t.co/pqZDWyffG1",997
6,2022-04-15 20:38:11+00:00,NASA,"Today's #Crew4 flight readiness review finished ahead of schedule. A news update by NASA, @ESA, and @SpaceX teams is starting now: https://t.co/6K2KptMa1m https://t.co/hS35K9kXuV",2925
7,2022-04-15 20:05:45+00:00,YahooFinance,Single mom sues coding boot camp over job placement rates https://t.co/Tx8RcMBYfn by @aarthiswami https://t.co/Q9sSlOcMp7,24
8,2022-04-15 19:52:43+00:00,YahooFinance,Plant-based foods should not be 'niche': Drew Barrymore on her Quorn partnership https://t.co/K7N1q8cT2A by @BrookeDiPalma https://t.co/AwCaldz46I,12
9,2022-04-15 19:44:46+00:00,YahooFinance,Here’s how to file for a tax extension https://t.co/V6klBbBG1j by @__gabriellacruz https://t.co/s2fsbqOB8W,7
10,2022-04-15 19:43:53+00:00,YahooFinance,Twitter Adopts ‘Poison Pill’ to Ward Off Musk Takeover https://t.co/zzyXZjzs5E via @business https://t.co/8j17LdGLIF,18
11,2022-04-15 19:21:40+00:00,YahooFinance,TikTok is becoming a platform that advertisers are clamoring to be on: Analyst https://t.co/U7vA8iUJkb by @davebriggstv https://t.co/1djFgkEwdm,9
12,2022-04-15 19:05:28+00:00,NASA,"LIVE NOW: NASA leaders are holding a teleconference to discuss the initial results from the latest test for the mega Moon rocket that will embark on the #Artemis I mission.

@NASAGroundSys has all the latest updates: https://t.co/bx7bb4H3Pj https://t.co/zun6DDGenk",1975
13,2022-04-15 18:55:40+00:00,YahooFinance,Taxes 2022: Last-minute tax filing tips https://t.co/GxEMO3uS94 by @WritesRonda https://t.co/gxwNhbVABs,5
14,2022-04-15 18:19:10+00:00,YahooFinance,This week in Bidenomics: Biden makes his inflation bet https://t.co/Sfki1iTkmJ by @rickjnewman https://t.co/PVoiFC6CMt,9
15,2022-04-15 17:22:48+00:00,YahooFinance,How streaming platforms like Spotify have created a 'new kind of paradigm' in music https://t.co/wRM0jvYMaT by @alliecanal8193 https://t.co/J3SKz7qcHs,15
16,2022-04-15 17:20:59+00:00,NASA,"LIVE NOW: Our SpaceX Crew-3 astronauts @Astro_Raja, Kayla Barron, @AstroMarshburn, and ESA astronaut @astro_matthias answer questions about their time aboard @Space_Station, from archaeology to chilis. https://t.co/GSIXzOG9Tt",2332
17,2022-04-15 16:54:35+00:00,NASA,"After more than a week of science and education on the @Space_Station, #Ax1 is scheduled to undock and depart on Tuesday, April 19. NASA's Ax-1 return coverage begins at 7am ET (11:00 UTC): https://t.co/xJhh3AJ4uL https://t.co/prshMhs96Z",2918
18,2022-04-15 16:50:16+00:00,YahooFinance,"Elon Musk's $43 billion bid for Twitter lacks 'legal clout,' experts say https://t.co/bOJOK1OBeM by @alexiskweed https://t.co/n9RWan5P8n",20
19,2022-04-15 16:47:34+00:00,YahooFinance,Kia Niro crossover is the 'trifecta of electrification': Kia COO https://t.co/M3WW3Hshbs by @Pras_S https://t.co/3Oxl1SP2wK,9
20,2022-04-15 16:12:30+00:00,NASA,"@iishmalkhan They'll work on both science &amp; maintenance of the @Space_Station; @ISS_Research highlights include studies on the aging of immune systems, organic material concrete alternatives, and cardiorespiratory effects from long-duration exposure to microgravity: https://t.co/0yVxp4ZsQI",10
21,2022-04-15 15:39:20+00:00,YahooFinance,"$WMT is trying to stymie the nationwide shortage of truckers and woo new drivers by raising their starting salary to $95,000. https://t.co/A4MgpWsx2T",23
22,2022-04-15 15:25:01+00:00,YahooFinance,North Korean hackers behind second-largest crypto hack https://t.co/s25AUSdM1J by @DsHollers https://t.co/T2CqHvtzIm,12
23,2022-04-15 15:24:34+00:00,YahooFinance,Taxes 2022: Reporting meme stock gains and losses https://t.co/u25krBP4pN by @thomashumTV https://t.co/9LX9FxaJMJ,6
24,2022-04-15 14:46:20+00:00,YahooFinance,"Russia may be in default, Moody's says https://t.co/hWUUCkgtgF https://t.co/fKMvEaErU8",26
25,2022-04-15 14:45:26+00:00,YahooFinance,Biden to nominate former Treasury official Barr for Fed top regulatory job https://t.co/QgL61BaSlE https://t.co/ZzxG7x3LIn,10
26,2022-04-15 14:30:04+00:00,YahooFinance,Biden to nominate former Treasury official Barr for Fed top regulatory job https://t.co/eS9OiyhdZ3,3
27,2022-04-15 14:28:37+00:00,YahooFinance,Taxes for 2021 are due on April 18. @DanGeltrude joined Yahoo Finance Live to discuss what you need to know about filing your taxes this year when it comes to unemployment benefits. https://t.co/LhtUNFiPoT,3
28,2022-04-15 14:23:51+00:00,YahooFinance,Michael Lewis on the CDC: 'It's more like centers for disease observation and reporting' https://t.co/7QBnvcprR7 by @MaxZahn_ with @serwer https://t.co/i1OT4N2js0,14
29,2022-04-15 14:23:08+00:00,YahooFinance,"Espresso martinis see a 'resurgence' as COVID-19 trends stick, Pernod Ricard exec says https://t.co/UlLiQaZwOe by @BrookeDiPalma https://t.co/jXccjiOUaC",12
30,2022-04-15 14:18:20+00:00,YahooFinance,"Restaurants still grappling with inflation, labor woes: 'Toughest operating environment ever' https://t.co/xDOOXRuBE2 by @alliecanal8193 https://t.co/uQ5nMD8yDJ",7
31,2022-04-15 14:17:45+00:00,YahooFinance,Taxes 2022: Here’s why April 15 isn’t tax day this year https://t.co/wcQw58u0t5 by @WritesRonda https://t.co/wBP0c6BbuH,6
32,2022-04-15 14:17:15+00:00,YahooFinance,Taxes 2022: What crypto investors should know before filing their returns https://t.co/AfUoBwTzBl by @__gabriellacruz https://t.co/KKDLIa8iNm,6
33,2022-04-15 14:00:03+00:00,YahooFinance,"Tesla CEO Elon Musk has made an offer to buy Twitter at a $43 billion valuation and to take it private, according to an SEC filing https://t.co/fSairOxcdU https://t.co/VFRNWAYmW5",24
34,2022-04-15 13:56:07+00:00,YahooFinance,"Yahoo Finance’s @Pras_S joins @narrative_io CEO @nick_jordan at the New York International Auto Show to discuss how auto companies are utilizing data collection.
Watch: https://t.co/1qqw8fPCxg https://t.co/Mg47ImPCEG",4
35,2022-04-15 13:10:19+00:00,NASA,"A new day on Mars ☀️

@NASAInSight captured this vision of Martian dawn from Elysium Planitia on April 10, the 1198th sol (or Martian day) of its mission. Get the full photo and check out our other raw images from the Red Planet: https://t.co/618nF77peG https://t.co/gx6Ek27c29",4150
36,2022-04-15 07:43:34+00:00,YahooFinance,"Big banks cautious about credit losses amid war in Ukraine, inflationary pressures https://t.co/LeidxwKbQs by @bcheungz https://t.co/mBLHS8tpKh",9
37,2022-04-15 07:20:59+00:00,YahooFinance,Here's how the self-employed can save on taxes and help their retirement https://t.co/dj30jvX1Mp by @kerryhannon https://t.co/IbnOWAorgw,10
38,2022-04-15 06:36:10+00:00,YahooFinance,When inflation was even worse https://t.co/KyjFP6J1q1 by @rickjnewman https://t.co/7Y45ZYcl9T,11
